
instructor.o:     file format elf64-x86-64
Contents of section .group:
 0000 01000000 1a010000                    ........        
Contents of section .group:
 0000 01000000 1c010000                    ........        
Contents of section .group:
 0000 01000000 1e010000                    ........        
Contents of section .group:
 0000 01000000 1f010000                    ........        
Contents of section .group:
 0000 01000000 21010000                    ....!...        
Contents of section .group:
 0000 01000000 23010000                    ....#...        
Contents of section .group:
 0000 01000000 24010000                    ....$...        
Contents of section .group:
 0000 01000000 26010000                    ....&...        
Contents of section .group:
 0000 01000000 27010000                    ....'...        
Contents of section .group:
 0000 01000000 28010000                    ....(...        
Contents of section .group:
 0000 01000000 2a010000                    ....*...        
Contents of section .group:
 0000 01000000 2c010000                    ....,...        
Contents of section .group:
 0000 01000000 2e010000                    ........        
Contents of section .group:
 0000 01000000 30010000                    ....0...        
Contents of section .group:
 0000 01000000 31010000                    ....1...        
Contents of section .group:
 0000 01000000 33010000                    ....3...        
Contents of section .group:
 0000 01000000 34010000                    ....4...        
Contents of section .group:
 0000 01000000 35010000                    ....5...        
Contents of section .group:
 0000 01000000 37010000                    ....7...        
Contents of section .group:
 0000 01000000 39010000                    ....9...        
Contents of section .group:
 0000 01000000 3b010000                    ....;...        
Contents of section .group:
 0000 01000000 3c010000                    ....<...        
Contents of section .group:
 0000 01000000 3e010000                    ....>...        
Contents of section .group:
 0000 01000000 3f010000                    ....?...        
Contents of section .group:
 0000 01000000 41010000                    ....A...        
Contents of section .group:
 0000 01000000 43010000                    ....C...        
Contents of section .group:
 0000 01000000 45010000                    ....E...        
Contents of section .group:
 0000 01000000 46010000                    ....F...        
Contents of section .group:
 0000 01000000 47010000                    ....G...        
Contents of section .group:
 0000 01000000 49010000                    ....I...        
Contents of section .group:
 0000 01000000 4b010000                    ....K...        
Contents of section .group:
 0000 01000000 4d010000                    ....M...        
Contents of section .group:
 0000 01000000 4f010000                    ....O...        
Contents of section .group:
 0000 01000000 50010000                    ....P...        
Contents of section .group:
 0000 01000000 51010000                    ....Q...        
Contents of section .group:
 0000 01000000 53010000                    ....S...        
Contents of section .group:
 0000 01000000 55010000                    ....U...        
Contents of section .group:
 0000 01000000 57010000                    ....W...        
Contents of section .group:
 0000 01000000 58010000                    ....X...        
Contents of section .group:
 0000 01000000 59010000                    ....Y...        
Contents of section .group:
 0000 01000000 5b010000                    ....[...        
Contents of section .group:
 0000 01000000 5d010000                    ....]...        
Contents of section .group:
 0000 01000000 5f010000                    ...._...        
Contents of section .group:
 0000 01000000 61010000                    ....a...        
Contents of section .group:
 0000 01000000 63010000                    ....c...        
Contents of section .group:
 0000 01000000 65010000                    ....e...        
Contents of section .group:
 0000 01000000 67010000                    ....g...        
Contents of section .group:
 0000 01000000 69010000                    ....i...        
Contents of section .group:
 0000 01000000 6b010000                    ....k...        
Contents of section .group:
 0000 01000000 6d010000                    ....m...        
Contents of section .group:
 0000 01000000 6f010000                    ....o...        
Contents of section .group:
 0000 01000000 71010000                    ....q...        
Contents of section .group:
 0000 01000000 73010000                    ....s...        
Contents of section .group:
 0000 01000000 75010000                    ....u...        
Contents of section .group:
 0000 01000000 77010000                    ....w...        
Contents of section .group:
 0000 01000000 79010000                    ....y...        
Contents of section .group:
 0000 01000000 7a010000                    ....z...        
Contents of section .group:
 0000 01000000 7b010000                    ....{...        
Contents of section .group:
 0000 01000000 7d010000                    ....}...        
Contents of section .group:
 0000 01000000 7f010000                    ........        
Contents of section .group:
 0000 01000000 81010000                    ........        
Contents of section .group:
 0000 01000000 82010000                    ........        
Contents of section .group:
 0000 01000000 83010000                    ........        
Contents of section .group:
 0000 01000000 84010000                    ........        
Contents of section .group:
 0000 01000000 86010000                    ........        
Contents of section .group:
 0000 01000000 88010000                    ........        
Contents of section .group:
 0000 01000000 8a010000                    ........        
Contents of section .group:
 0000 01000000 8b010000                    ........        
Contents of section .group:
 0000 01000000 8d010000                    ........        
Contents of section .group:
 0000 01000000 8e010000                    ........        
Contents of section .group:
 0000 01000000 90010000                    ........        
Contents of section .group:
 0000 01000000 92010000                    ........        
Contents of section .group:
 0000 01000000 94010000                    ........        
Contents of section .group:
 0000 01000000 96010000                    ........        
Contents of section .group:
 0000 01000000 98010000                    ........        
Contents of section .group:
 0000 01000000 99010000                    ........        
Contents of section .group:
 0000 01000000 9b010000                    ........        
Contents of section .group:
 0000 01000000 9d010000                    ........        
Contents of section .group:
 0000 01000000 9f010000                    ........        
Contents of section .group:
 0000 01000000 a0010000                    ........        
Contents of section .group:
 0000 01000000 a2010000                    ........        
Contents of section .group:
 0000 01000000 a3010000                    ........        
Contents of section .group:
 0000 01000000 a5010000                    ........        
Contents of section .group:
 0000 01000000 a6010000                    ........        
Contents of section .group:
 0000 01000000 a8010000                    ........        
Contents of section .group:
 0000 01000000 a9010000                    ........        
Contents of section .group:
 0000 01000000 ab010000                    ........        
Contents of section .group:
 0000 01000000 ad010000                    ........        
Contents of section .group:
 0000 01000000 af010000                    ........        
Contents of section .group:
 0000 01000000 b1010000                    ........        
Contents of section .group:
 0000 01000000 b2010000                    ........        
Contents of section .group:
 0000 01000000 b3010000                    ........        
Contents of section .group:
 0000 01000000 b5010000                    ........        
Contents of section .group:
 0000 01000000 b7010000                    ........        
Contents of section .group:
 0000 01000000 b9010000                    ........        
Contents of section .group:
 0000 01000000 bb010000                    ........        
Contents of section .group:
 0000 01000000 bc010000                    ........        
Contents of section .group:
 0000 01000000 be010000                    ........        
Contents of section .group:
 0000 01000000 c0010000                    ........        
Contents of section .group:
 0000 01000000 c2010000                    ........        
Contents of section .group:
 0000 01000000 c3010000                    ........        
Contents of section .group:
 0000 01000000 c5010000                    ........        
Contents of section .group:
 0000 01000000 c7010000                    ........        
Contents of section .group:
 0000 01000000 c9010000                    ........        
Contents of section .group:
 0000 01000000 ca010000                    ........        
Contents of section .group:
 0000 01000000 cc010000                    ........        
Contents of section .group:
 0000 01000000 ce010000                    ........        
Contents of section .group:
 0000 01000000 d0010000                    ........        
Contents of section .group:
 0000 01000000 d2010000                    ........        
Contents of section .group:
 0000 01000000 d4010000                    ........        
Contents of section .group:
 0000 01000000 d5010000                    ........        
Contents of section .group:
 0000 01000000 d7010000                    ........        
Contents of section .group:
 0000 01000000 d9010000                    ........        
Contents of section .group:
 0000 01000000 da010000                    ........        
Contents of section .group:
 0000 01000000 db010000                    ........        
Contents of section .group:
 0000 01000000 dc010000                    ........        
Contents of section .group:
 0000 01000000 dd010000                    ........        
Contents of section .group:
 0000 01000000 de010000                    ........        
Contents of section .group:
 0000 01000000 e0010000                    ........        
Contents of section .group:
 0000 01000000 e1010000                    ........        
Contents of section .group:
 0000 01000000 e3010000                    ........        
Contents of section .group:
 0000 01000000 e4010000                    ........        
Contents of section .group:
 0000 01000000 e6010000                    ........        
Contents of section .group:
 0000 01000000 e8010000                    ........        
Contents of section .group:
 0000 01000000 ea010000                    ........        
Contents of section .group:
 0000 01000000 ec010000                    ........        
Contents of section .group:
 0000 01000000 ed010000                    ........        
Contents of section .group:
 0000 01000000 ef010000                    ........        
Contents of section .group:
 0000 01000000 f1010000                    ........        
Contents of section .group:
 0000 01000000 f3010000                    ........        
Contents of section .group:
 0000 01000000 f4010000                    ........        
Contents of section .group:
 0000 01000000 f6010000                    ........        
Contents of section .group:
 0000 01000000 f8010000                    ........        
Contents of section .group:
 0000 01000000 fa010000                    ........        
Contents of section .group:
 0000 01000000 fb010000                    ........        
Contents of section .group:
 0000 01000000 23020000                    ....#...        
Contents of section .group:
 0000 01000000 25020000                    ....%...        
Contents of section .group:
 0000 01000000 27020000                    ....'...        
Contents of section .group:
 0000 01000000 28020000                    ....(...        
Contents of section .group:
 0000 01000000 2a020000                    ....*...        
Contents of section .group:
 0000 01000000 2c020000                    ....,...        
Contents of section .group:
 0000 01000000 2d020000                    ....-...        
Contents of section .group:
 0000 01000000 fd010000 ff010000           ............    
Contents of section .group:
 0000 01000000 2f020000                    ..../...        
Contents of section .group:
 0000 01000000 31020000                    ....1...        
Contents of section .group:
 0000 01000000 01020000                    ........        
Contents of section .group:
 0000 01000000 32020000                    ....2...        
Contents of section .group:
 0000 01000000 02020000 04020000           ............    
Contents of section .group:
 0000 01000000 34020000                    ....4...        
Contents of section .group:
 0000 01000000 36020000                    ....6...        
Contents of section .group:
 0000 01000000 37020000                    ....7...        
Contents of section .group:
 0000 01000000 06020000 08020000           ............    
Contents of section .group:
 0000 01000000 39020000                    ....9...        
Contents of section .group:
 0000 01000000 3b020000                    ....;...        
Contents of section .group:
 0000 01000000 0a020000                    ........        
Contents of section .group:
 0000 01000000 0c020000                    ........        
Contents of section .group:
 0000 01000000 0d020000                    ........        
Contents of section .group:
 0000 01000000 0f020000                    ........        
Contents of section .group:
 0000 01000000 11020000                    ........        
Contents of section .group:
 0000 01000000 13020000                    ........        
Contents of section .group:
 0000 01000000 15020000                    ........        
Contents of section .group:
 0000 01000000 17020000                    ........        
Contents of section .group:
 0000 01000000 18020000                    ........        
Contents of section .group:
 0000 01000000 1a020000                    ........        
Contents of section .group:
 0000 01000000 1b020000                    ........        
Contents of section .group:
 0000 01000000 1c020000                    ........        
Contents of section .text:
 0000 554889e5 4883ec20 48897df8 488975f0  UH..H.. H.}.H.u.
 0010 8955ec89 4de84489 45e4488b 45f88b7d  .U..M.D.E.H.E..}
 0020 e48b4de8 8b55ec48 8b75f041 89f84889  ..M..U.H.u.A..H.
 0030 c7e80000 0000ba00 00000048 8b45f848  ...........H.E.H
 0040 8910488b 45f8c740 14020000 0090c9c3  ..H.E..@........
 0050 554889e5 4883ec20 48897de8 8975e489  UH..H.. H.}..u..
 0060 55e0488b 45e88b40 183945e4 7e07b801  U.H.E..@.9E.~...
 0070 000000eb 05b8ffff ffff8945 f4488b45  ...........E.H.E
 0080 e88b401c 3945e07e 07b80100 0000eb05  ..@.9E.~........
 0090 b8ffffff ff8945f0 488b45e8 8b50188b  ......E.H.E..P..
 00a0 45f401d0 8945fc48 8b45e88b 501c8b45  E....E.H.E..P..E
 00b0 f001d089 45f88b45 fc3b45e4 7431488b  ....E..E.;E.t1H.
 00c0 45e8488b 40088b55 f88b4dfc 89ce4889  E.H.@..U..M...H.
 00d0 c7e80000 000084c0 7407b800 000000eb  ........t.......
 00e0 138b45f4 0145fc8b 45f00145 f8ebc7b8  ..E..E..E..E....
 00f0 01000000 c9c35548 89e54883 ec104889  ......UH..H...H.
 0100 7df88975 f48955f0 488b45f8 8b40182b  }..u..U.H.E..@.+
 0110 45f489c2 488b45f8 8b401c2b 45f039c2  E...H.E..@.+E.9.
 0120 741e488b 45f88b40 182b45f4 89c2488b  t.H.E..@.+E...H.
 0130 45f88b40 1c8b4df0 29c189c8 39c27516  E..@..M.)...9.u.
 0140 8b55f08b 4df4488b 45f889ce 4889c7e8  .U..M.H.E...H...
 0150 00000000 eb05b800 000000c9 c3905548  ..............UH
 0160 89e54889 7df8488b 45f88b40 1083f801  ..H.}.H.E..@....
 0170 7507b800 000000eb 05b80000 00005dc3  u.............].
 0180 554889e5 534883ec 6848897d 98897594  UH..SH..hH.}..u.
 0190 895590ba 00000000 488b4598 48891048  .U......H.E.H..H
 01a0 8b4598c7 40080000 0000488b 4598c740  .E..@.....H.E..@
 01b0 0c000000 00488b45 98c74010 01000000  .....H.E..@.....
 01c0 488b4598 4883c018 4889c7e8 00000000  H.E.H...H.......
 01d0 488b4598 4883c030 4889c7e8 00000000  H.E.H..0H.......
 01e0 488b4598 4883c048 4889c7e8 00000000  H.E.H..HH.......
 01f0 488b4598 48c74060 00000000 488b4598  H.E.H.@`....H.E.
 0200 48c74068 00000000 488b4598 8b559489  H.@h....H.E..U..
 0210 5008488b 45988b55 9089500c 488d45bf  P.H.E..U..P.H.E.
 0220 4889c7e8 00000000 488d45e7 4889c7e8  H.......H.E.H...
 0230 00000000 48c745e8 00000000 488b4598  ....H.E.....H.E.
 0240 8b400c48 63f0488d 4de7488d 55e8488d  .@.Hc.H.M.H.U.H.
 0250 45c04889 c7e80000 0000488b 45988b40  E.H.......H.E..@
 0260 084863f0 488d4dbf 488d55c0 488d45a0  .Hc.H.M.H.U.H.E.
 0270 4889c7e8 00000000 488b4598 488d5018  H.......H.E.H.P.
 0280 488d45a0 4889c648 89d7e800 00000048  H.E.H..H.......H
 0290 8d45a048 89c7e800 00000048 8d45c048  .E.H.......H.E.H
 02a0 89c7e800 00000048 8d45e748 89c7e800  .......H.E.H....
 02b0 00000048 8d45bf48 89c7e800 000000eb  ...H.E.H........
 02c0 674889c3 488d45c0 4889c7e8 00000000  gH..H.E.H.......
 02d0 eb034889 c3488d45 e74889c7 e8000000  ..H..H.E.H......
 02e0 00488d45 bf4889c7 e8000000 00488b45  .H.E.H.......H.E
 02f0 984883c0 484889c7 e8000000 00488b45  .H..HH.......H.E
 0300 984883c0 304889c7 e8000000 00488b45  .H..0H.......H.E
 0310 984883c0 184889c7 e8000000 004889d8  .H...H.......H..
 0320 4889c7e8 00000000 4883c468 5b5dc390  H.......H..h[]..
 0330 554889e5 41554154 534881ec a8000000  UH..AUATSH......
 0340 4889bd48 ffffff48 89b540ff ffffba00  H..H...H..@.....
 0350 00000048 8b8548ff ffff4889 10488b85  ...H..H...H..H..
 0360 48ffffff c7400800 00000048 8b8548ff  H....@.....H..H.
 0370 ffffc740 0c000000 00488b85 48ffffff  ...@.....H..H...
 0380 c7401001 00000048 8b8548ff ffff4883  .@.....H..H...H.
 0390 c0184889 c7e80000 0000488b 8548ffff  ..H.......H..H..
 03a0 ff4883c0 304889c7 e8000000 00488b85  .H..0H.......H..
 03b0 48ffffff 4883c048 4889c7e8 00000000  H...H..HH.......
 03c0 488b8548 ffffff48 c7406000 00000048  H..H...H.@`....H
 03d0 8b8548ff ffff48c7 40680000 0000488b  ..H...H.@h....H.
 03e0 8540ffff ff8b5008 488b8548 ffffff89  .@....P.H..H....
 03f0 5008488b 8540ffff ff8b500c 488b8548  P.H..@....P.H..H
 0400 ffffff89 500c488b 8540ffff ff8b5010  ....P.H..@....P.
 0410 488b8548 ffffff89 5010488d 458f4889  H..H....P.H.E.H.
 0420 c7e80000 0000488d 45b74889 c7e80000  ......H.E.H.....
 0430 000048c7 45b80000 0000488b 8548ffff  ..H.E.....H..H..
 0440 ff8b400c 4863f048 8d4db748 8d55b848  ..@.Hc.H.M.H.U.H
 0450 8d459048 89c7e800 00000048 8b8548ff  .E.H.......H..H.
 0460 ffff8b40 084863f0 488d4d8f 488d5590  ...@.Hc.H.M.H.U.
 0470 488d8570 ffffff48 89c7e800 00000048  H..p...H.......H
 0480 8b8548ff ffff488d 5018488d 8570ffff  ..H...H.P.H..p..
 0490 ff4889c6 4889d7e8 00000000 488d8570  .H..H.......H..p
 04a0 ffffff48 89c7e800 00000048 8d459048  ...H.......H.E.H
 04b0 89c7e800 00000048 8d45b748 89c7e800  .......H.E.H....
 04c0 00000048 8d458f48 89c7e800 00000048  ...H.E.H.......H
 04d0 8b8540ff ffff4883 c0304889 45d8488b  ..@...H..0H.E.H.
 04e0 45d84889 c7e80000 00004889 8568ffff  E.H.......H..h..
 04f0 ff488b45 d84889c7 e8000000 00488985  .H.E.H.......H..
 0500 60ffffff 488d9560 ffffff48 8d8568ff  `...H..`...H..h.
 0510 ffff4889 d64889c7 e8000000 0084c074  ..H..H.........t
 0520 7b488d85 68ffffff 4889c7e8 00000000  {H..h...H.......
 0530 488b0048 8945d048 8b45d048 89c7e800  H..H.E.H.E.H....
 0540 00000041 89c5488b 45d04889 c7e80000  ...A..H.E.H.....
 0550 00004189 c4488b45 d04889c7 e8000000  ..A..H.E.H......
 0560 0089c348 8b45d048 89c7e800 00000089  ...H.E.H........
 0570 c6488b85 48ffffff 4589e844 89e189da  .H..H...E..D....
 0580 4889c7e8 00000000 488d8568 ffffff48  H.......H..h...H
 0590 89c7e800 000000e9 68ffffff 488b8540  ........h...H..@
 05a0 ffffff48 83c04848 8945c848 8b45c848  ...H..HH.E.H.E.H
 05b0 89c7e800 00000048 898558ff ffff488b  .......H..X...H.
 05c0 45c84889 c7e80000 00004889 8550ffff  E.H.......H..P..
 05d0 ff488d95 50ffffff 488d8558 ffffff48  .H..P...H..X...H
 05e0 89d64889 c7e80000 000084c0 0f84f000  ..H.............
 05f0 0000488d 8558ffff ff4889c7 e8000000  ..H..X...H......
 0600 00488b00 488945c0 488b45c0 4889c7e8  .H..H.E.H.E.H...
 0610 00000000 4189c548 8b45c048 89c7e800  ....A..H.E.H....
 0620 00000041 89c4488b 45c04889 c7e80000  ...A..H.E.H.....
 0630 000089c3 488b45c0 4889c7e8 00000000  ....H.E.H.......
 0640 89c6488b 8548ffff ff4589e8 4489e189  ..H..H...E..D...
 0650 da4889c7 e8000000 00488d85 58ffffff  .H.......H..X...
 0660 4889c7e8 00000000 e964ffff ff4889c3  H........d...H..
 0670 488d4590 4889c7e8 00000000 eb034889  H.E.H.........H.
 0680 c3488d45 b74889c7 e8000000 00488d45  .H.E.H.......H.E
 0690 8f4889c7 e8000000 00eb0348 89c3488b  .H.........H..H.
 06a0 8548ffff ff4883c0 484889c7 e8000000  .H...H..HH......
 06b0 00488b85 48ffffff 4883c030 4889c7e8  .H..H...H..0H...
 06c0 00000000 488b8548 ffffff48 83c01848  ....H..H...H...H
 06d0 89c7e800 00000048 89d84889 c7e80000  .......H..H.....
 06e0 00009048 81c4a800 00005b41 5c415d5d  ...H......[A\A]]
 06f0 c3905548 89e54883 ec504889 7db8ba00  ..UH..H..PH.}...
 0700 00000048 8b45b848 8910488b 45b84883  ...H.E.H..H.E.H.
 0710 c0304889 45f8488b 45f84889 c7e80000  .0H.E.H.E.H.....
 0720 00004889 45d8488b 45f84889 c7e80000  ..H.E.H.E.H.....
 0730 00004889 45d0488d 55d0488d 45d84889  ..H.E.H.U.H.E.H.
 0740 d64889c7 e8000000 0084c074 3f488d45  .H.........t?H.E
 0750 d84889c7 e8000000 00488b00 488945f0  .H.......H..H.E.
 0760 48837df0 00741748 8b45f048 8b004883  H.}..t.H.E.H..H.
 0770 c008488b 00488b55 f04889d7 ffd0488d  ..H..H.U.H....H.
 0780 45d84889 c7e80000 0000ebaa 488b45b8  E.H.........H.E.
 0790 4883c048 488945e8 488b45e8 4889c7e8  H..HH.E.H.E.H...
 07a0 00000000 488945c8 488b45e8 4889c7e8  ....H.E.H.E.H...
 07b0 00000000 488945c0 488d55c0 488d45c8  ....H.E.H.U.H.E.
 07c0 4889d648 89c7e800 00000084 c0743f48  H..H.........t?H
 07d0 8d45c848 89c7e800 00000048 8b004889  .E.H.......H..H.
 07e0 45e04883 7de00074 17488b45 e0488b00  E.H.}..t.H.E.H..
 07f0 4883c008 488b0048 8b55e048 89d7ffd0  H...H..H.U.H....
 0800 488d45c8 4889c7e8 00000000 ebaa488b  H.E.H.........H.
 0810 45b84883 c0484889 c7e80000 0000488b  E.H..HH.......H.
 0820 45b84883 c0304889 c7e80000 0000488b  E.H..0H.......H.
 0830 45b84883 c0184889 c7e80000 000090c9  E.H...H.........
 0840 c3905548 89e54883 ec104889 7df8488b  ..UH..H...H.}.H.
 0850 45f84889 c7e80000 0000488b 45f8be70  E.H.......H.E..p
 0860 00000048 89c7e800 000000c9 c3905548  ...H..........UH
 0870 89e54154 534883ec 3048897d d88975d4  ..ATSH..0H.}..u.
 0880 8955d089 4dcc4489 45c88b55 c88b4dcc  .U..M.D.E..U..M.
 0890 488b45d8 89ce4889 c7e80000 000048c7  H.E...H.......H.
 08a0 45e00000 00008b45 d083f801 745283f8  E......E....tR..
 08b0 017f0985 c07418e9 cd000000 83f80274  .....t.........t
 08c0 6d83f803 0f849200 0000e9ba 000000bf  m...............
 08d0 20000000 e8000000 004889c3 8b75c88b   ........H...u..
 08e0 4dcc8b55 d4488b45 d84189f0 4889c648  M..U.H.E.A..H..H
 08f0 89dfe800 00000048 895de0e9 89000000  .......H.]......
 0900 bf200000 00e80000 00004889 c38b75c8  . ........H...u.
 0910 8b4dcc8b 55d4488b 45d84189 f04889c6  .M..U.H.E.A..H..
 0920 4889dfe8 00000000 48895de0 eb5bbf20  H.......H.]..[. 
 0930 000000e8 00000000 4889c38b 75c88b4d  ........H...u..M
 0940 cc8b55d4 488b45d8 4189f048 89c64889  ..U.H.E.A..H..H.
 0950 dfe80000 00004889 5de0eb2d bf200000  ......H.]..-. ..
 0960 00e80000 00004889 c38b75c8 8b4dcc8b  ......H...u..M..
 0970 55d4488b 45d84189 f04889c6 4889dfe8  U.H.E.A..H..H...
 0980 00000000 48895de0 90837dd0 03757283  ....H.]...}..ur.
 0990 7dd40075 34488b45 e04885c0 741cb900  }..u4H.E.H..t...
 09a0 000000ba 00000000 be000000 004889c7  .............H..
 09b0 e8000000 004889c2 eb05ba00 00000048  .....H.........H
 09c0 8b45d848 895060eb 38837dd4 01753248  .E.H.P`.8.}..u2H
 09d0 8b45e048 85c0741c b9000000 00ba0000  .E.H..t.........
 09e0 0000be00 00000048 89c7e800 00000048  .......H.......H
 09f0 89c2eb05 ba000000 00488b45 d8488950  .........H.E.H.P
 0a00 68837dd4 00750a48 8b45d848 83c030eb  h.}..u.H.E.H..0.
 0a10 08488b45 d84883c0 48488945 e8488d55  .H.E.H..HH.E.H.U
 0a20 e0488b45 e84889d6 4889c7e8 00000000  .H.E.H..H.......
 0a30 488b45d8 488d5018 8b45cc48 984889c6  H.E.H.P..E.H.H..
 0a40 4889d7e8 00000000 4889c28b 45c84898  H.......H...E.H.
 0a50 4889c648 89d7e800 00000048 89c2488b  H..H.......H..H.
 0a60 45e04889 02eb6c49 89c4be20 00000048  E.H...lI... ...H
 0a70 89dfe800 0000004c 89e04889 c7e80000  .......L..H.....
 0a80 00004989 c4be2000 00004889 dfe80000  ..I... ...H.....
 0a90 00004c89 e04889c7 e8000000 004989c4  ..L..H.......I..
 0aa0 be200000 004889df e8000000 004c89e0  . ...H.......L..
 0ab0 4889c7e8 00000000 4989c4be 20000000  H.......I... ...
 0ac0 4889dfe8 00000000 4c89e048 89c7e800  H.......L..H....
 0ad0 00000048 83c4305b 415c5dc3 554889e5  ...H..0[A\].UH..
 0ae0 4883ec10 48897df8 488975f0 488b45f0  H...H.}.H.u.H.E.
 0af0 4889c7e8 00000000 89c2488b 45f88b00  H.........H.E...
 0b00 39c27520 488b45f0 4889c7e8 00000000  9.u H.E.H.......
 0b10 89c2488b 45f88b40 0439c275 07b80100  ..H.E..@.9.u....
 0b20 0000eb05 b8000000 00c9c390 554889e5  ............UH..
 0b30 534883ec 2848897d d88975d4 8955d048  SH..(H.}..u..U.H
 0b40 8b45d848 8d50188b 45d44898 4889c648  .E.H.P..E.H.H..H
 0b50 89d7e800 00000048 89c28b45 d0489848  .......H...E.H.H
 0b60 89c64889 d7e80000 0000488b 00488945  ..H.......H..H.E
 0b70 e848837d e8000f84 ac000000 488b45e8  .H.}........H.E.
 0b80 4889c7e8 00000000 85c0750a 488b45d8  H.........u.H.E.
 0b90 4883c030 eb08488b 45d84883 c0484889  H..0..H.E.H..HH.
 0ba0 45e08b45 d448ba00 000000ff ffffff48  E..E.H.........H
 0bb0 21da4809 d04889c3 8b45d048 c1e02089  !.H..H...E.H.. .
 0bc0 da4809d0 4889c348 8b45e048 89de4889  .H..H..H.E.H..H.
 0bd0 c7e80c09 00004883 7de80074 17488b45  ......H.}..t.H.E
 0be0 e8488b00 4883c008 488b0048 8b55e848  .H..H...H..H.U.H
 0bf0 89d7ffd0 488b45d8 488d5018 8b45d448  ....H.E.H.P..E.H
 0c00 984889c6 4889d7e8 00000000 4889c28b  .H..H.......H...
 0c10 45d04898 4889c648 89d7e800 00000048  E.H.H..H.......H
 0c20 c7000000 0000eb01 904883c4 285b5dc3  .........H..([].
 0c30 554889e5 4883ec10 48897df8 8975f489  UH..H...H.}..u..
 0c40 55f0488b 45f8488d 50188b45 f4489848  U.H.E.H.P..E.H.H
 0c50 89c64889 d7e80000 00004889 c28b45f0  ..H.......H...E.
 0c60 48984889 c64889d7 e8000000 00488b00  H.H..H.......H..
 0c70 4885c00f 95c0c9c3 554889e5 4883ec20  H.......UH..H.. 
 0c80 48897df8 8975f489 55f0894d ec8b55f0  H.}..u..U..M..U.
 0c90 8b4df448 8b45f889 ce4889c7 e8000000  .M.H.E...H......
 0ca0 0083f001 84c07407 b8000000 00eb3c48  ......t.......<H
 0cb0 8b45f848 8d50188b 45f44898 4889c648  .E.H.P..E.H.H..H
 0cc0 89d7e800 00000048 89c28b45 f0489848  .......H...E.H.H
 0cd0 89c64889 d7e80000 0000488b 004889c7  ..H.......H..H..
 0ce0 e8000000 003945ec 0f94c0c9 c3905548  .....9E.......UH
 0cf0 89e54883 ec304889 7de88975 e48955e0  ..H..0H.}..u..U.
 0d00 894ddc44 8945d848 8b45e848 8d50188b  .M.D.E.H.E.H.P..
 0d10 45e44898 4889c648 89d7e800 00000048  E.H.H..H.......H
 0d20 89c28b45 e0489848 89c64889 d7e80000  ...E.H.H..H.....
 0d30 0000488b 00488945 f88b55d8 8b4ddc48  ..H..H.E..U..M.H
 0d40 8b45e889 ce4889c7 e8000000 00488b45  .E...H.......H.E
 0d50 e8488d50 188b45dc 48984889 c64889d7  .H.P..E.H.H..H..
 0d60 e8000000 004889c2 8b45d848 984889c6  .....H...E.H.H..
 0d70 4889d7e8 00000000 4889c248 8b45f848  H.......H..H.E.H
 0d80 8902488b 45e8488d 50188b45 e4489848  ..H.E.H.P..E.H.H
 0d90 89c64889 d7e80000 00004889 c28b45e0  ..H.......H...E.
